Subnet Network Address,Broadcast Address,Subnet Mask,Number of Usable Hosts,First Usable Host,Last Usable Host
172.16.0.0,172.16.15.255,255.255.240.0,4094,172.16.0.1,172.16.15.254
172.16.16.0,172.16.31.255,255.255.240.0,4094,172.16.16.1,172.16.31.254
172.16.32.0,172.16.47.255,255.255.240.0,4094,172.16.32.1,172.16.47.254
172.16.48.0,172.16.63.255,255.255.240.0,4094,172.16.48.1,172.16.63.254
172.16.64.0,172.16.79.255,255.255.240.0,4094,172.16.64.1,172.16.79.254
172.16.80.0,172.16.95.255,255.255.240.0,4094,172.16.80.1,172.16.95.254
172.16.96.0,172.16.111.255,255.255.240.0,4094,172.16.96.1,172.16.111.254
172.16.112.0,172.16.127.255,255.255.240.0,4094,172.16.112.1,172.16.127.254
172.16.128.0,172.16.143.255,255.255.240.0,4094,172.16.128.1,172.16.143.254
172.16.144.0,172.16.159.255,255.255.240.0,4094,172.16.144.1,172.16.159.254
172.16.160.0,172.16.175.255,255.255.240.0,4094,172.16.160.1,172.16.175.254
172.16.176.0,172.16.191.255,255.255.240.0,4094,172.16.176.1,172.16.191.254
172.16.192.0,172.16.207.255,255.255.240.0,4094,172.16.192.1,172.16.207.254
172.16.208.0,172.16.223.255,255.255.240.0,4094,172.16.208.1,172.16.223.254
172.16.224.0,172.16.239.255,255.255.240.0,4094,172.16.224.1,172.16.239.254
172.16.240.0,172.16.255.255,255.255.240.0,4094,172.16.240.1,172.16.255.254
